"","x"
"1304",0
"1305",0
"1306",0
"1307",0
"1308",0
"1309",2
"1310",0
"1311",0
"1312",0
"1313",4
"1314",0
"1315",0
"1316",0
"1317",17
"1318",0
"1319",0
"1320",15
"1321",0
"1322",0
"1323",0
"1324",0
"1325",0
"1326",2
"1327",0
"1328",1
"1329",0
"1330",0
"1331",0
"1332",18
"1333",0
"1334",0
"1335",7
"1336",0
"1337",2
"1338",0
"1339",0
"1340",0
"1341",0
"1342",0
"1343",0
"1344",0
"1345",0
"1346",0
"1347",0
"1348",0
"1349",0
"1350",1
"1351",0
"1352",0
"1353",0
"1354",0
"1355",0
"1356",0
"1357",0
"1358",3
"1359",1
"1360",0
"1361",0
"1362",0
"1363",0
"1364",0
"1365",0
"1366",3
"1367",2
"1368",0
"1369",0
"1370",4
"1371",0
"1372",0
"1373",2
"1374",0
"1375",0
"1376",0
"1377",1
"1378",2
"1379",0
"1380",0
"1381",0
"1382",1
"1383",0
"1384",0
"1385",0
"1386",11
"1387",0
"1388",0
"1389",1
"1390",0
"1391",0
"1392",0
"1393",1
"1394",0
"1395",0
"1396",0
"1397",0
"1398",0
"1399",0
"1400",0
"1401",31
"1402",0
"1403",0
"1404",16
"1405",0
"1406",0
"1407",0
"1408",0
"1409",0
"1410",0
"1411",0
"1412",0
"1413",0
"1414",0
"1415",8
"1416",0
"1417",6
"1418",3
"1419",0
"1420",0
"1421",0
"1422",0
"1423",0
"1424",0
"1425",0
"1426",1
"1427",2
"1428",0
"1429",0
"1430",0
"1431",0
"1432",3
"1433",0
"1434",0
"1435",0
"1436",0
"1437",27
"1438",0
"1439",0
"1440",0
"1441",0
"1442",0
"1443",10
"1444",0
"1445",3
"1446",0
"1447",0
"1448",0
"1449",9
"1450",0
"1451",0
"1452",0
"1453",0
"1454",0
"1455",0
"1456",7
"1457",0
"1458",1
"1459",1
"1460",0
"1461",0
"1462",0
"1463",1
"1464",0
"1465",0
"1466",3
"1467",0
"1468",0
"1469",2
"1470",1
"1471",0
"1472",0
"1473",0
"1474",0
"1475",0
"1476",24
"1477",0
"1478",0
"1479",0
"1480",0
"1481",0
"1482",0
"1483",0
"1484",0
"1485",2
"1486",0
"1487",0
"1488",0
"1489",1
"1490",0
"1491",0
"1492",0
"1493",0
"1494",0
"1495",0
"1496",0
"1497",0
"1498",0
"1499",0
"1500",15
"1501",0
"1502",0
"1503",7
"1504",2
"1505",1
"1506",0
"1507",0
"1508",0
"1509",0
"1510",0
"1511",0
"1512",0
"1513",0
"1514",2
"1515",0
"1516",0
"1517",1
"1518",0
"1519",0
"1520",0
"1521",11
"1522",0
"1523",0
"1524",0
"1525",0
"1526",0
"1527",0
"1528",0
"1529",0
"1530",0
"1531",0
"1532",0
"1533",25
"1534",0
"1535",0
"1536",0
"1537",0
"1538",0
"1539",0
"1540",0
"1541",0
"1542",0
"1543",0
"1544",0
"1545",5
"1546",0
"1547",0
"1548",0
"1549",0
"1550",7
"1551",0
"1552",0
"1553",0
"1554",0
"1555",0
"1556",1
"1557",0
"1558",0
"1559",3
"1560",0
"1561",0
"1562",0
"1563",0
"1564",0
"1565",0
"1566",0
"1567",0
"1568",0
"1569",0
"1570",0
"1571",0
"1572",6
"1573",0
"1574",0
"1575",0
"1576",0
"1577",0
"1578",0
"1579",0
"1580",3
"1581",0
"1582",1
"1583",0
"1584",0
"1585",0
"1586",0
"1587",5
"1588",10
"1589",0
"1590",0
"1591",0
"1592",0
"1593",0
"1594",0
"1595",0
"1596",13
"1597",0
"1598",0
"1599",0
"1600",0
"1601",6
"1602",0
"1603",0
"1604",0
"1605",5
"1606",1
"1607",1
"1608",0
"1609",0
"1610",0
"1611",0
"1612",0
"1613",0
"1614",0
"1615",0
"1616",0
"1617",0
"1618",1
"1619",0
"1620",0
"1621",0
"1622",0
"1623",0
"1624",0
"1625",1
"1626",0
"1627",0
"1628",0
"1629",4
"1630",0
"1631",0
"1632",0
"1633",0
"1634",0
"1635",0
"1636",0
"1637",0
"1638",1
"1639",0
