"","x"
"1646",1
"1647",2
"1648",0
"1649",0
"1650",0
"1651",14
"1652",0
"1653",0
"1654",0
"1655",0
"1656",0
"1657",0
"1658",0
"1659",3
"1660",1
"1661",0
"1662",0
"1663",0
"1664",0
"1665",0
"1666",0
"1667",5
"1668",0
"1669",0
"1670",0
"1671",0
"1672",0
"1673",0
"1674",1
"1675",0
"1676",4
"1677",0
"1678",0
"1679",0
"1680",0
"1681",0
"1682",1
"1683",0
"1684",0
"1685",0
"1686",2
"1687",3
"1688",0
"1689",0
"1690",0
"1691",0
"1692",0
"1693",0
"1694",0
"1695",0
"1696",2
"1697",0
"1698",0
"1699",0
"1700",0
"1701",1
"1702",0
"1703",0
"1704",9
"1705",1
"1706",0
"1707",1
"1708",2
"1709",0
"1710",0
"1711",0
"1712",0
"1713",0
"1714",11
"1715",0
"1716",0
"1717",0
"1718",0
"1719",0
"1720",0
"1721",0
"1722",0
"1723",12
"1724",0
"1725",1
"1726",3
"1727",3
"1728",1
"1729",0
"1730",0
"1731",0
"1732",0
"1733",0
"1734",0
"1735",1
"1736",1
"1737",0
"1738",0
"1739",0
"1740",0
"1741",1
"1742",0
"1743",0
"1744",5
"1745",0
"1746",0
"1747",0
"1748",0
"1749",0
"1750",0
"1751",1
"1752",0
"1753",0
"1754",0
"1755",3
"1756",0
"1757",0
"1758",0
"1759",0
"1760",0
"1761",0
"1762",3
"1763",1
"1764",0
"1765",0
"1766",0
"1767",3
"1768",0
"1769",0
"1770",0
"1771",1
"1772",0
"1773",0
"1774",0
"1775",0
"1776",2
"1777",0
"1778",0
"1779",0
"1780",0
"1781",0
"1782",0
"1783",3
"1784",0
"1785",0
"1786",0
"1787",0
"1788",0
"1789",0
"1790",4
"1791",0
"1792",4
"1793",0
"1794",0
"1795",0
"1796",0
"1797",0
"1798",1
"1799",0
"1800",0
"1801",0
"1802",0
"1803",4
"1804",0
"1805",0
"1806",1
"1807",0
"1808",0
"1809",0
"1810",0
"1811",0
"1812",21
"1813",0
"1814",0
"1815",0
"1816",0
"1817",0
"1818",0
"1819",0
"1820",0
"1821",0
"1822",0
"1823",0
"1824",0
"1825",0
"1826",0
"1827",0
"1828",0
"1829",0
"1830",0
"1831",0
"1832",0
"1833",5
"1834",2
"1835",0
"1836",1
"1837",0
"1838",0
"1839",0
"1840",0
"1841",0
"1842",1
"1843",0
"1844",0
"1845",0
"1846",0
"1847",1
"1848",0
"1849",0
"1850",0
"1851",0
"1852",0
"1853",0
"1854",0
"1855",0
"1856",0
"1857",0
"1858",2
"1859",1
"1860",1
"1861",0
"1862",68
"1863",0
"1864",0
"1865",0
"1866",27
"1867",0
"1868",0
"1869",0
"1870",0
"1871",0
"1872",0
"1873",0
"1874",0
"1875",0
"1876",0
"1877",0
"1878",0
"1879",0
"1880",0
"1881",0
"1882",0
"1883",0
"1884",3
"1885",3
"1886",1
"1887",0
"1888",31
"1889",0
"1890",10
"1891",0
"1892",1
"1893",0
"1894",1
"1895",1
"1896",0
"1897",3
"1898",0
"1899",0
"1900",1
"1901",0
"1902",0
"1903",0
"1904",0
"1905",2
"1906",0
"1907",0
"1908",0
"1909",0
"1910",0
"1911",9
"1912",2
"1913",0
"1914",0
"1915",0
"1916",0
"1917",0
"1918",0
"1919",0
"1920",0
"1921",12
"1922",0
"1923",0
"1924",0
"1925",0
"1926",0
"1927",0
"1928",0
"1929",0
"1930",0
"1931",1
"1932",1
"1933",0
"1934",0
"1935",0
"1936",0
"1937",0
"1938",0
"1939",0
"1940",0
"1941",0
"1942",0
"1943",1
"1944",0
"1945",0
"1946",0
"1947",0
"1948",0
"1949",1
"1950",0
"1951",0
"1952",0
"1953",0
"1954",0
"1955",3
"1956",0
"1957",0
"1958",0
"1959",0
"1960",0
"1961",0
"1962",2
"1963",0
"1964",0
"1965",0
"1966",0
"1967",0
"1968",0
"1969",1
"1970",0
"1971",0
"1972",0
"1973",0
"1974",0
"1975",0
"1976",0
"1977",3
"1978",0
"1979",0
"1980",0
"1981",0
"1982",0
"1983",0
"1984",0
"1985",0
"1986",0
"1987",0
"1988",0
"1989",0
"1990",2
"1991",0
"1992",0
"1993",0
"1994",3
"1995",0
"1996",4
"1997",0
"1998",1
"1999",0
"2000",0
"2001",0
"2002",0
"2003",0
"2004",0
"2005",1
"2006",1
"2007",0
"2008",0
"2009",0
"2010",2
"2011",0
"2012",1
"2013",0
"2014",0
"2015",0
"2016",0
"2017",0
"2018",0
"2019",2
"2020",0
"2021",18
"2022",0
"2023",0
"2024",0
"2025",0
"2026",0
"2027",2
"2028",0
"2029",0
"2030",0
"2031",0
"2032",0
"2033",0
"2034",0
"2035",1
"2036",0
"2037",0
"2038",0
"2039",0
"2040",0
"2041",0
"2042",0
"2043",0
"2044",0
"2045",0
"2046",4
"2047",0
"2048",0
"2049",0
"2050",1
"2051",0
"2052",0
"2053",0
"2054",13
"2055",10
"2056",0
"2057",0
"2058",0
"2059",0
"2060",0
"2061",0
"2062",2
"2063",0
"2064",0
"2065",0
"2066",0
"2067",0
"2068",0
"2069",0
"2070",0
"2071",0
"2072",0
"2073",0
"2074",0
"2075",0
"2076",3
"2077",0
"2078",1
"2079",0
"2080",729416.369847701
"2081",0
"2082",0
"2083",0
"2084",0
"2085",0
"2086",0
"2087",0
"2088",0
"2089",0
"2090",5
"2091",0
"2092",2
"2093",4
"2094",3
"2095",0
"2096",0
"2097",0
"2098",0
"2099",3
"2100",1
"2101",0
"2102",0
"2103",0
"2104",19
"2105",5
"2106",0
"2107",0
"2108",4
"2109",1
"2110",0
"2111",0
"2112",8
"2113",0
"2114",0
"2115",0
"2116",4
"2117",0
"2118",0
"2119",0
"2120",0
"2121",0
"2122",2
"2123",0
"2124",0
"2125",0
"2126",0
"2127",0
"2128",0
"2129",0
"2130",0
"2131",2
"2132",0
"2133",0
"2134",0
"2135",2
"2136",1
"2137",0
"2138",0
"2139",0
"2140",0
"2141",10
"2142",0
"2143",0
"2144",0
"2145",0
"2146",0
"2147",0
"2148",0
"2149",0
"2150",0
"2151",0
"2152",0
"2153",0
"2154",0
"2155",7
"2156",0
"2157",0
"2158",0
"2159",0
"2160",0
"2161",11
"2162",2
"2163",1
"2164",0
"2165",0
"2166",0
"2167",1
"2168",4
"2169",0
"2170",0
"2171",0
"2172",1
"2173",0
"2174",2
"2175",0
"2176",0
"2177",7
"2178",0
"2179",0
"2180",0
"2181",0
"2182",0
"2183",0
"2184",0
"2185",0
"2186",0
"2187",0
"2188",0
"2189",0
"2190",0
"2191",0
"2192",0
"2193",0
"2194",0
"2195",0
"2196",0
"2197",0
"2198",0
"2199",0
"2200",19
"2201",1
"2202",1
"2203",0
"2204",0
"2205",0
"2206",1
"2207",1
"2208",0
"2209",0
"2210",0
"2211",0
"2212",7
"2213",1
"2214",0
"2215",0
"2216",1
"2217",0
"2218",0
"2219",0
"2220",0
"2221",1
"2222",1
"2223",0
"2224",0
"2225",0
"2226",0
"2227",0
"2228",0
"2229",0
"2230",0
"2231",0
"2232",1
"2233",0
"2234",1
"2235",0
"2236",1
"2237",0
"2238",0
"2239",0
"2240",0
"2241",8
"2242",0
"2243",0
"2244",0
"2245",0
"2246",0
"2247",27
"2248",0
"2249",5
"2250",0
"2251",0
"2252",1
"2253",2
"2254",0
"2255",0
"2256",0
"2257",0
"2258",5
"2259",1
"2260",0
"2261",0
"2262",0
"2263",0
"2264",0
"2265",0
"2266",0
"2267",0
"2268",0
"2269",0
"2270",0
"2271",4
"2272",0
"2273",0
"2274",9
"2275",0
"2276",0
"2277",0
"2278",0
"2279",1
"2280",0
"2281",0
"2282",0
"2283",0
"2284",0
"2285",0
"2286",1
"2287",0
"2288",0
"2289",8
"2290",0
"2291",1
"2292",2
"2293",0
"2294",0
"2295",0
"2296",3
"2297",0
"2298",0
"2299",0
"2300",0
"2301",0
"2302",0
"2303",0
"2304",4
"2305",0
"2306",0
"2307",0
"2308",0
"2309",0
"2310",0
"2311",0
"2312",0
"2313",0
"2314",0
"2315",2
"2316",2
"2317",0
"2318",14
"2319",0
"2320",0
"2321",2
"2322",0
"2323",0
"2324",2
"2325",0
"2326",0
"2327",0
"2328",0
"2329",0
"2330",0
"2331",0
"2332",0
"2333",15
"2334",0
"2335",0
"2336",14
"2337",0
"2338",0
"2339",0
"2340",3
"2341",1
"2342",0
"2343",0
"2344",11
"2345",0
"2346",1
"2347",0
"2348",0
"2349",0
"2350",0
"2351",0
"2352",0
"2353",1
"2354",0
"2355",0
"2356",0
"2357",0
"2358",1
"2359",0
"2360",0
"2361",0
"2362",0
"2363",9
"2364",0
"2365",0
"2366",0
"2367",15
"2368",0
"2369",0
"2370",1
"2371",0
"2372",0
"2373",1
"2374",1
"2375",0
"2376",6
"2377",0
"2378",1
"2379",0
"2380",0
"2381",0
"2382",0
"2383",0
"2384",0
"2385",0
"2386",8
"2387",0
"2388",0
"2389",0
"2390",0
"2391",6
"2392",0
"2393",0
"2394",0
"2395",0
"2396",0
"2397",0
"2398",0
"2399",0
"2400",9
"2401",0
"2402",0
"2403",0
"2404",1
"2405",3
"2406",0
"2407",0
"2408",0
"2409",5
"2410",1
"2411",0
"2412",0
"2413",0
"2414",0
"2415",0
"2416",0
"2417",0
"2418",0
"2419",0
"2420",0
"2421",0
"2422",1
"2423",0
"2424",1
"2425",0
"2426",9
"2427",0
"2428",0
"2429",0
"2430",0
"2431",0
"2432",1
"2433",1
"2434",0
"2435",0
"2436",3
"2437",0
"2438",0
"2439",0
"2440",0
"2441",1
"2442",1
"2443",1
"2444",0
"2445",0
"2446",0
"2447",0
"2448",0
"2449",1
"2450",2
"2451",0
"2452",0
"2453",0
"2454",0
"2455",0
"2456",0
"2457",4
"2458",2
"2459",1
"2460",0
"2461",0
"2462",0
"2463",3
"2464",0
"2465",3
"2466",3
"2467",2
"2468",0
"2469",0
"2470",0
"2471",0
"2472",0
"2473",0
"2474",3
"2475",2
"2476",5
"2477",0
"2478",2
"2479",0
"2480",0
"2481",1
"2482",0
"2483",0
"2484",0
"2485",0
"2486",0
"2487",68
"2488",0
"2489",6
"2490",0
"2491",0
"2492",0
"2493",1
